number,title,author,topic,lead_time_hours,churn,changed_files,merged,personality
50,Vanish/fp rop core [SKIP CI],Vanish,Build/CI,,641,10,True,常规推进
12,feat: Add demo scenes and unit tests for ThirdPersonController,消失,Tests,,590,25,True,常规推进
337, 一些贪吃蛇数据加载,Vanish,Other,,545,20,True,常规推进
242,Likoko/4.2bg,likoko,Other,,544,27,True,常规推进
52,Integrate roslyn-lint configuration into pipeline,Vanish,Data/Save,,541,4,True,常规推进
204,Vanish/fixing everything,Vanish,Bug/Fix,,416,18,True,常规推进
223,update,Vanish,Other,,410,8,True,小刀快修
110,Develop,Vanish,Other,,381,2,True,小刀快修
274,add some lights,likoko,Rendering,,335,10,True,小刀快修
21,Develop,消失,Other,,331,2,True,小刀快修
46,环境配置脚本 [SKIP CI],消失,Build/CI,,301,3,True,小刀快修
139,feat: 添加任务清理与回收工作流，优化逾期任务检测逻辑,Vanish,Other,,300,3,True,小刀快修
134,feat: 添加CRT效果材质和着色器，更新渲染设置,Vanish,Other,,251,7,True,小刀快修
279,修好了一个蠢bug,Vanish,Bug/Fix,,245,39,True,常规推进
170,169 ab tile,Vanish,Level/LDtk,,227,11,True,常规推进
196,178 level camera,Vanish,Rendering,,201,12,True,常规推进
219,update,Vanish,Other,,157,4,True,小刀快修
38,[Automation] feat: ci-pipeline (#38),消失,Build/CI,,145,1,True,小刀快修
341,mistery fog,Vanish,Other,,119,7,True,小刀快修
220,测试一下,likoko,Other,,98,7,True,小刀快修
123,bugfix: 修复aciton,Vanish,Bug/Fix,,90,1,True,小刀快修
172,RainRust渲染纹理尺寸,Vanish,Other,,85,2,True,小刀快修
310,4.29 project,OriSYX,Other,,80,2,True,小刀快修
319,"Add Lights""",Vanish,Rendering,,50,10,True,小刀快修
236,update,Vanish,Other,,44,2,True,小刀快修
350,Introduce shared game identifiers and standardize startup constants,Vanish,Assets/Art,,41,9,True,小刀快修
235,done,Vanish,Other,,32,3,True,小刀快修
4,Develop,消失,Other,,21,3,True,小刀快修
334,change snake move mode,Vanish,Other,,21,1,True,小刀快修
206,crt effect,Vanish,Other,,18,3,True,小刀快修
135,fix: 更新Crt材质和场景文件的LFS引用,Vanish,Bug/Fix,,12,3,True,小刀快修
280,增加了光源阻挡,Vanish,Other,,12,1,True,小刀快修
3,feat: update default values and descriptions for deployment and build targets in CI/CD pipeline,消失,Build/CI,,12,1,True,小刀快修
136,chore: 移除不再使用的com.boxqkrtm.ide.cursor依赖,Vanish,Other,,10,2,True,小刀快修
13,feat: update default build targets for step 2 in CI/CD workflow,消失,Build/CI,,6,1,True,小刀快修
202,update,Vanish,Other,,4,2,True,小刀快修
64,"Revert ""[SKIP CICD]Update README.md""",Vanish,Docs/Stats,,4,1,True,小刀快修
176,Update Scene,OriSYX,Level/LDtk,,2,1,True,小刀快修
42,Vanish/automation pipeline,消失,Build/CI,,1,1,True,小刀快修
41,Vanish/sample odin editor,消失,Other,,1,1,True,小刀快修
7,Develop,消失,Other,,0,0,True,小刀快修
